,PC1,PC2,db_label
0,-27.6560742702,4.62801040598,0
1,-18.4623345262,0.0985802407919,0
2,-22.732277209,-0.597912697976,0
3,-4.83525610776,5.35132951293,1
4,-4.34181187334,1.86127298868,1
5,-21.9821347594,-0.0284558110871,0
6,-6.89786713931,1.82879249241,0
7,-10.8997492524,-2.7828925077,1
8,-15.7770292438,-1.41735126973,0
9,-18.8533263088,1.27798064452,0
10,-18.9829097096,-0.446527356789,0
11,-22.6475515343,4.41843275724,0
12,-14.2121491444,0.0540842282393,0
13,-4.94090372605,4.17838991006,2
14,-15.5776023947,5.2541251142,0
15,-23.0602938671,5.17252929876,0
16,-12.5990223975,-2.66963213566,0
17,-17.5360258496,1.85929996828,0
18,-18.2469837192,6.54325818273,0
19,-5.90591724375,0.152555063313,3
20,0.892400042731,-15.000615058,0
21,-13.4373978007,4.03026539182,0
22,-11.9569280547,3.33664947366,0
23,-14.1259339882,1.14722518819,0
24,-17.8085541249,-4.62316880256,0
25,-16.3132538315,-0.582573511395,0
26,-18.4027313317,0.174044073736,0
27,-21.4960490131,-1.3001854328,0
28,-12.19298465,3.55520241719,0
29,-0.997542201157,-13.2252875618,0
30,-17.7377335264,-0.687803435901,0
31,-11.4465439954,-0.387639802595,0
32,-20.7149476363,-1.30115955731,0
33,-0.577031069966,-6.57354045349,0
34,-21.7595803787,1.38901271148,0
35,2.60838869703,-30.7682167959,4
36,-11.1732636763,-3.15298477071,5
37,8.41336030902,-7.43609316146,6
38,-11.1321267034,7.22838478387,0
39,-9.65551320462,2.68001214994,0
40,-6.44519589315,1.7230798946,1
41,-18.9001153237,-0.0848299554721,0
42,0.111017481201,-2.06848733406,0
43,-14.8502216539,-1.02305404105,0
44,-31.032095925,26.5177319333,0
45,-10.8035267419,2.15033890387,0
46,15.2954655243,-22.6294109576,7
47,-8.34600438189,-1.70873530993,8
48,-25.6910951331,7.4200883482,9
49,26.784681153,24.0894992408,10
50,-14.5316464144,2.25514513094,0
51,-14.2400481458,0.630218816159,0
52,-17.665144847,4.60949949008,0
53,-11.7576218279,2.06813891402,11
54,-17.1517495999,4.30556500355,11
55,-13.7341878202,0.636274304787,12
56,12.959096391,-24.4401192608,0
57,-15.4827699278,1.85787942161,0
58,-4.60049059126,-7.79342023863,13
59,-21.0340354535,0.757279264869,14
