,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,PC1,PC2,db_label
461,Luis Montero,POR,23,12,6,6,3.5,1.2,0.4,1.6,26.3,0.1,0.8,11.1,0.3,0.3,75.0,0.0,0.3,0.3,0.1,0.3,0.0,0.0,0.1,0,0,-3.3,5.73500660677,-12.6266963081,37
462,Pat Connaughton,POR,23,34,17,17,4.2,1.1,0.4,1.4,26.5,0.1,0.6,23.8,0.1,0.1,100.0,0.3,0.6,0.9,0.3,0.3,0.1,0.0,0.2,0,0,-0.4,-21.9546106599,-15.9046461231,37
463,Eric Moreland,SAC,24,8,1,7,5.9,1.0,0.4,0.8,50.0,0.0,0.0,0.0,0.3,0.5,50.0,0.4,1.0,1.4,0.1,0.4,0.0,0.5,0.5,0,0,0.8,33.9220322557,-11.1399186459,73
464,James Young,BOS,20,29,12,17,6.9,1.0,0.4,1.2,30.6,0.2,0.9,23.1,0.0,0.1,25.0,0.1,0.8,0.9,0.3,0.2,0.2,0.0,0.6,0,0,-0.9,41.0506596315,24.1512470348,37
465,Jarnell Stokes,MEM,22,7,1,6,2.7,1.0,0.4,0.7,60.0,0.0,0.0,0.0,0.1,0.3,50.0,0.1,0.4,0.6,0.1,0.0,0.1,0.0,0.1,0,0,1.3,34.5325242377,-12.3950200787,80
466,Bryce Cotton,MEM,23,8,1,7,4.8,1.0,0.5,1.3,40.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4,0.0,0.3,0,0,-3.0,74.941501184,17.6141719425,37
467,Joel Anthony,DET,33,19,12,7,5.0,0.9,0.3,0.5,60.0,0.0,0.0,0.0,0.3,0.4,75.0,0.4,0.7,1.1,0.1,0.1,0.1,0.6,0.8,0,0,-0.9,13.8424641181,-26.1221299001,73
468,Sasha Kaun,CLE,31,25,18,7,3.8,0.9,0.4,0.7,52.9,0.0,0.0,0.0,0.2,0.4,45.5,0.5,0.6,1.0,0.1,0.3,0.2,0.2,0.4,0,0,-0.2,37.8894750279,-9.03255622553,85
469,Aaron Harrison,CHA,21,21,15,6,4.4,0.9,0.2,0.9,26.3,0.1,0.5,30.0,0.2,0.6,41.7,0.2,0.5,0.7,0.1,0.2,0.3,0.0,0.5,0,0,-0.3,23.2146722049,21.2044211249,37
470,Branden Dawson,LAC,23,6,5,1,4.8,0.8,0.3,0.8,40.0,0.0,0.0,0.0,0.2,0.2,100.0,0.3,0.3,0.7,0.0,0.0,0.0,0.2,0.3,0,0,-2.5,-8.13139612518,-37.2864956998,37
471,Joe Harris,CLE,24,5,5,0,3.0,0.6,0.2,0.8,25.0,0.2,0.8,25.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,0.2,0.0,0.0,0.2,0,0,-4.2,60.6298024172,40.1418456258,37
472,Bruno Caboclo,TOR,20,6,6,0,7.1,0.5,0.2,2.0,8.3,0.2,1.2,14.3,0.0,0.0,0.0,0.2,0.2,0.3,0.2,0.7,0.3,0.2,0.3,0,0,-1.3,65.1392499723,33.4623062439,37
473,Nate Robinson,NOP,32,2,0,2,11.6,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,2.5,0,0,-10.0,72.7660998742,22.6946072679,37
474,JJ O'Brien,UTA,24,2,2,0,3.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0,0,-4.0,72.6441973415,22.6456440392,86
475,Sam Dekker,HOU,22,3,1,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0,0,-0.7,72.5794972335,22.6316522537,86
